Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,area,harvestc,prod_turnoverc,NBP,transp,evap,interc,wd,prec,SoilC,SoilC_slow,LitC,VegC,ProductC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,harvestN,prod_turnovern,SoilN,SoilN_slow,LitN,VegN,ProductN,estab_storageC,estab_storageN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(m2),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gC),(1e+15 gN)
1529,-0.000553717,0.00424783,0.00235533,0.00290905,1.71726e-05,-5.38779e-08,1.89111e-05,8.69174e+08,0.000155065,1.15003e-11,-0.000707932,0.0021228,0.000377971,0.000150586,1.27701e-06,0.0029119,0.0719688,0.026284,0.00188762,0.0032704,8.6611e-10,4.17675e-05,7.03264e-06,9.36502e-06,8.61444e-06,6.0013e-07,-1.17091e-10,1.67211e-07,4.74857e-06,2.35271e-14,0.00430444,0.00163217,2.93582e-05,0.000127637,1.77187e-12,0.00141109,0.000141109
1530,0.000431685,0.00558168,0.00326434,0.00283265,1.63743e-05,0,6.26602e-05,8.66019e+08,0.000139504,1.11129e-11,0.000248421,0.00246888,0.000497784,0.000165625,1.17817e-06,0.00390322,0.0719711,0.026279,0.00210708,0.00329707,8.54997e-10,5.3047e-05,1.38371e-05,1.36558e-05,9.61685e-06,5.73434e-07,0,6.64097e-07,4.14221e-06,2.27345e-14,0.00430198,0.00163186,3.77611e-05,0.000122112,1.74913e-12,0.00141109,0.000141109
1531,0.000417687,0.00574298,0.00339851,0.00298082,1.66394e-05,0,2.28829e-05,8.62864e+08,0.000125871,1.07566e-11,0.000288088,0.0030283,0.000571242,0.000412486,1.37889e-06,0.00933876,0.0721524,0.026276,0.00226316,0.00324772,8.4424e-10,5.01871e-05,1.70392e-05,9.87085e-06,1.11536e-05,5.82238e-07,0,2.5629e-07,3.71152e-06,2.20056e-14,0.00430631,0.00163167,4.29718e-05,0.000111991,1.72713e-12,0.00141109,0.000141109
1532,0.000204224,0.00550433,0.00326475,0.00306053,1.68771e-05,0,0.00030001,8.59708e+08,0.00015419,1.04284e-11,-0.000230593,0.00268432,0.000370337,0.000356399,1.26121e-06,0.00753933,0.072128,0.0262742,0.0019873,0.00331742,8.33812e-10,5.0239e-05,1.6849e-05,9.66919e-06,1.06415e-05,5.90065e-07,0,3.14339e-06,4.61759e-06,2.13341e-14,0.00430436,0.00163155,3.65239e-05,0.000111936,1.7058e-12,0.00141109,0.000141109
1533,0.000345349,0.00562512,0.00334003,0.00299468,1.63001e-05,0,4.26623e-05,8.56544e+08,0.000141735,1.01255e-11,0.000179747,0.00280462,0.000479272,0.000242181,1.43619e-06,0.00487015,0.0722107,0.0262714,0.00210581,0.0032959,8.23686e-10,5.17478e-05,1.4931e-05,9.85136e-06,1.03743e-05,5.70734e-07,0,4.58197e-07,4.13783e-06,2.07145e-14,0.00430277,0.00163137,3.87935e-05,0.00010965,1.68508e-12,0.00141109,0.000141109
1534,0.000292941,0.00560188,0.00333931,0.00304637,1.64724e-05,0,2.4636e-05,8.53389e+08,0.000125527,9.84548e-12,0.000161736,0.00305621,0.000559883,0.000416492,1.49241e-06,0.00933876,0.0722677,0.0262694,0.00221297,0.00329353,8.13841e-10,5.01741e-05,1.75504e-05,9.29337e-06,1.13934e-05,5.76459e-07,0,2.65374e-07,3.57645e-06,2.01417e-14,0.00430232,0.00163123,4.03335e-05,0.000108067,1.66494e-12,0.00141109,0.000141109
1535,-9.01897e-05,0.00510443,0.00295897,0.00304916,1.66815e-05,-5.38081e-09,0.000230264,8.50233e+08,0.000144925,9.58617e-12,-0.000446216,0.00241172,0.000348965,0.000153249,1.45773e-06,0.00292737,0.0720448,0.0262674,0.0019947,0.00328846,8.04255e-10,4.80509e-05,1.34774e-05,7.08787e-06,9.5812e-06,5.83142e-07,-1.08761e-11,2.34942e-06,4.11739e-06,1.96112e-14,0.00429469,0.00163109,3.49709e-05,0.000112178,1.64533e-12,0.00141109,0.000141109
1536,0.000533179,0.00579036,0.00349167,0.00295849,1.61252e-05,0,2.38316e-05,8.47078e+08,0.0001414,9.34553e-12,0.000386539,0.00316773,0.000526572,0.000271813,1.907e-06,0.00751038,0.0721216,0.0262642,0.00219189,0.00340103,7.94909e-10,5.19078e-05,1.73637e-05,1.20018e-05,1.19104e-05,5.64572e-07,0,2.48235e-07,4.14345e-06,1.91189e-14,0.00429337,0.00163088,3.93325e-05,0.000110807,1.62621e-12,0.00141109,0.000141109
1537,6.3459e-05,0.00530844,0.00311527,0.00305181,1.63696e-05,0,0.000108812,8.43914e+08,0.000141296,9.12178e-12,-0.000167823,0.00275694,0.000434638,0.000171816,1.16054e-06,0.00413148,0.0720566,0.0262622,0.0021203,0.00336979,7.85787e-10,4.73511e-05,1.58311e-05,8.86043e-06,1.07028e-05,5.72623e-07,0,1.11433e-06,4.23275e-06,1.86611e-14,0.00428909,0.00163074,3.69895e-05,0.000112178,1.60755e-12,0.00141109,0.000141109
1538,9.5771e-05,0.00523746,0.00312364,0.00302787,1.63044e-05,0,0.000174611,8.40759e+08,0.000142452,8.91329e-12,-0.000202542,0.00264302,0.000467225,0.000373374,1.04609e-06,0.00687541,0.0718846,0.02626,0.00196473,0.00349483,7.76874e-10,4.73608e-05,1.49018e-05,1.04175e-05,1.08244e-05,5.70325e-07,0,1.68455e-06,4.38156e-06,1.82346e-14,0.00428199,0.00163059,3.29976e-05,0.000118166,1.58931e-12,0.00141109,0.000141109
1539,0.000356015,0.00572225,0.003344,0.00298798,1.60485e-05,0,4.14944e-05,8.37603e+08,0.000136935,8.71861e-12,0.000196071,0.00289116,0.000496924,0.000243549,1.4873e-06,0.00471671,0.0719747,0.0262572,0.00208471,0.00348086,7.68156e-10,5.05462e-05,1.74576e-05,7.49757e-06,1.10913e-05,5.61738e-07,0,4.25507e-07,4.19387e-06,1.78364e-14,0.00428084,0.00163039,3.60199e-05,0.000117302,1.57148e-12,0.00141109,0.000141109
1540,-1.98955e-05,0.0051686,0.00294069,0.00296058,1.61373e-05,-1.8081e-08,2.5999e-05,8.34448e+08,0.00012427,8.53644e-12,-0.000151583,0.00254008,0.000368595,0.000164068,2.44287e-06,0.00364101,0.071713,0.0262541,0.00216588,0.00350981,7.59619e-10,4.74472e-05,1.17059e-05,6.40514e-06,8.57411e-06,5.64492e-07,-4.00443e-11,2.52026e-07,3.21243e-06,1.74637e-14,0.00426964,0.00163019,3.58303e-05,0.000125012,1.55401e-12,0.00141109,0.000141109
