Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,transp,evap,interc,prec,SoilC,SoilC_slow,LitC,VegC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
1539,0.000289174,0.00630915,0.00361651,0.00332733,-5.85865e-08,0,4.43201e-05,0.000244796,0.00324975,0.000244571,0.000302795,0.00471671,0.0761031,0.0263768,0.00235777,0.00439349,5.12581e-05,1.94446e-05,6.17149e-06,9.59006e-06,-1.9918e-09,0,4.21608e-07,0.00451278,0.00163758,3.80796e-05,0.000163367
1540,-5.20335e-05,0.00578418,0.00323143,0.00328346,2.97412e-08,-1.36425e-08,2.90103e-05,-8.10005e-05,0.00286014,0.000166193,0.000202874,0.00364101,0.0758832,0.0263764,0.00247994,0.00441019,4.85784e-05,1.23891e-05,5.35754e-06,7.91463e-06,9.50344e-10,-3.1129e-11,2.56715e-07,0.00450302,0.00163755,3.801e-05,0.000172672
1541,0.000360272,0.00670114,0.00375016,0.00338989,2.85168e-08,0,1.71494e-05,0.000343151,0.00355,0.000252699,0.000305087,0.00564002,0.0764095,0.0263775,0.00273428,0.00397269,5.27815e-05,2.09217e-05,5.47545e-06,1.04741e-05,9.19784e-10,0,1.89534e-07,0.00452232,0.00163756,4.90992e-05,0.00015147
1542,9.82924e-05,0.0061889,0.00356698,0.00346868,2.92372e-08,-9.09038e-09,4.13692e-05,5.69616e-05,0.00312388,0.000199822,0.000228019,0.00382557,0.0763316,0.0263796,0.0026938,0.004148,4.6989e-05,1.56211e-05,4.81289e-06,9.19019e-06,9.33981e-10,-2.02571e-11,4.0946e-07,0.00452527,0.00163768,4.67716e-05,0.0001486
1543,-0.00131504,0.00373858,0.0020516,0.00336663,1.93125e-06,-1.7242e-08,4.96713e-05,-0.00136276,0.00172922,0.000188305,0.000117417,0.00201383,0.0759451,0.0263803,0.00248304,0.00338249,4.5364e-05,4.45732e-06,7.6148e-06,6.3251e-06,6.43337e-08,-3.95224e-11,4.4841e-07,0.004514,0.00163777,3.99132e-05,0.000160804
1544,0.0007783,0.00702151,0.00403608,0.00325778,-1.87305e-06,0,1.61922e-05,0.000760234,0.00337119,0.000264019,0.000218494,0.00564002,0.0760965,0.0263795,0.00257283,0.00390153,5.70057e-05,1.72682e-05,9.89243e-06,9.57424e-06,-6.24677e-08,0,1.923e-07,0.00452733,0.00163774,4.9691e-05,0.000146125
1545,-0.000718524,0.00477196,0.00260878,0.0033273,7.58313e-07,-2.20743e-08,2.31688e-05,-0.000740912,0.00237728,0.000226811,0.000183774,0.0029119,0.0756352,0.0263797,0.0024089,0.00378592,4.45238e-05,7.29653e-06,6.82787e-06,7.16009e-06,2.52362e-08,-5.06312e-11,2.2076e-07,0.00451297,0.00163778,4.13757e-05,0.000158325
1546,0.000686068,0.00655734,0.00387839,0.00319232,-7.00079e-07,-2.39384e-09,6.81223e-05,0.000617248,0.0030584,0.000205826,0.000175327,0.00413564,0.0757389,0.0263781,0.00255711,0.00415124,5.95982e-05,1.56707e-05,1.19123e-05,9.46246e-06,-2.33652e-08,-5.25202e-12,7.34984e-07,0.00451655,0.00163771,4.6668e-05,0.000156532
1547,0.000107151,0.00592962,0.00347874,0.00337158,2.90127e-08,-8.43925e-09,3.01547e-05,7.70335e-05,0.00302159,0.000238837,0.000236965,0.00405584,0.0757763,0.0263789,0.00246103,0.00428694,5.1253e-05,1.40116e-05,7.91486e-06,9.17864e-06,9.26537e-10,-1.87518e-11,2.99381e-07,0.00451671,0.00163776,4.28648e-05,0.000160113
1548,0.000167039,0.00594538,0.00340552,0.00323849,2.90164e-08,-5.60391e-09,4.30132e-05,0.00012406,0.00279576,0.00022264,0.00023716,0.0043985,0.0759709,0.026378,0.00267756,0.00399993,5.29058e-05,1.31808e-05,6.0477e-06,8.53367e-06,9.27044e-10,-1.24093e-11,4.53724e-07,0.00451904,0.00163771,4.75271e-05,0.00015324
